"","playerShort","player","club","leagueCountry","birthday","height","weight","position","games","victories","ties","defeats","goals","yellowCards","yellowReds","redCards","photoID","rater1","rater2","refNum","refCountry","Alpha_3","meanIAT","nIAT","seIAT","meanExp","nExp","seExp","avrate","age","cards"
"807","wolfgang-hesl","Wolfgang Hesl","SpVgg Greuther Fürth","Germany",1986-01-13,186,87,"Goalkeeper",2,1,1,0,0,0,0,0,"32432.jpg",0,0.25,1804,"57","AUT",0.337539293106427,1319,0.000331326009106019,0.394139194139194,1365,0.00171672097335431,0.125,26.986301369863,"0"
"808","tom-mickel","Tom Mickel","Hamburger SV","Germany",1989-04-19,186,81,"Goalkeeper",1,0,1,0,0,0,0,0,"81719.jpg",0.25,0.25,895,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,23.7205479452055,"0"
"809","takashi-inui","Takashi Inui","Eintracht Frankfurt","Germany",1988-06-02,169,59,"Middle",2,2,0,0,0,0,0,0,"78040.jpg",0.25,0.5,1953,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.375,24.6,"0"
"810","andriy-voronin","Andriy Voronin","Fortuna Düsseldorf","Germany",1979-07-21,174,81,"Front",2,0,2,0,0,0,0,0,"890.jpg",0,0,66,"4","LUX",0.325185154120009,127,0.00329680952361961,0.538461538461538,130,0.013752210497518,0,33.4739726027397,"0"
"811","jens-hegeler","Jens Hegeler","Bayer Leverkusen","Germany",1988-01-22,193,86,"Middle",1,1,0,0,0,0,0,0,"85281.jpg",0,0,930,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,24.9616438356164,"0"
"812","diego-alves"," Diego Alves","Valencia CF","Spain",1985-06-24,188,85,"Goalkeeper",2,1,0,1,0,0,0,0,"73068.jpg",0.25,0.5,304,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.375,27.5424657534247,"0"
"813","marcel-halstenberg","Marcel Halstenberg","Borussia Dortmund","Germany",1991-09-27,186,82,"Back",1,0,0,1,0,0,0,0,"119453.jpg",0,0,1931,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,21.2794520547945,"0"
"814","salva-sevilla"," Salva Sevilla","Real Betis","Spain",1984-03-18,178,70,"Middle",1,1,0,0,0,0,0,0,"94814.jpg",0.25,0.25,1089,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,28.8109589041096,"0"
"815","chu-young-park","Chu-Young Park","Celta Vigo","Spain",1985-07-10,183,70,"Front",2,0,1,1,0,0,0,0,"49226.jpg",0.25,0.5,2345,"101","CZE",0.411976316319541,595,0.000712378907208621,0.683946488294314,598,0.00348928950301772,0.375,27.4986301369863,"0"
"816","jussie"," Jussiê","Girondins Bordeaux","France",1983-09-19,180,76,"Front",8,3,4,1,2,1,0,0,"30432.jpg",0.5,0.5,3077,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.5,29.3068493150685,"1"
"817","tino-costa","Tino Costa","Valencia CF","Spain",1985-01-09,176,75,"Middle",4,2,2,0,1,2,0,0,"124914.jpg",0.25,0.25,432,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,27.9972602739726,"1"
"818","jens-langeneke","Jens Langeneke","Fortuna Düsseldorf","Germany",1977-03-29,185,78,"Back",2,2,0,0,1,0,0,0,"811.jpg",0.25,0.25,2901,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,35.786301369863,"0"
"819","dariusz-dudka","Dariusz Dudka","Levante UD","Spain",1983-12-09,183,80,"Middle",2,0,2,0,0,0,0,0,"25487.jpg",0.25,0.25,2417,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.25,29.0849315068493,"0"
"820","mladen-petric","Mladen Petrić","Fulham FC","England",1981-01-01,185,81,"Front",1,1,0,0,0,1,0,0,"8466.jpg",0,0,1034,"1","GRC",0.326391469021736,712,0.000564112354334542,0.396,750,0.0026964901062936,0,32.0219178082192,"1"
"821","erik-wille","Erik Wille","Eintracht Frankfurt","Germany",1993-03-28,183,74,"Back",1,0,1,0,0,0,0,0,"173517.jpg",0,0,2752,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,19.7780821917808,"0"
"822","sebastian-tyrala","Sebastian Tyrała","SpVgg Greuther Fürth","Germany",1988-02-22,172,78,"Middle",1,0,0,1,0,0,0,0,"35075.jpg",0,0,265,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0,24.8767123287671,"0"
"823","kevin-stoeger","Kevin Stöger","VfB Stuttgart","Germany",1993-08-27,175,70,"Middle",1,0,0,1,0,0,0,0,"173645.jpg",0,0.25,353,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.125,19.3616438356164,"0"
"824","kevin-volland","Kevin Volland","1899 Hoffenheim","Germany",1992-07-30,179,74,"Front",3,2,0,1,1,0,0,0,"168266.jpg",0.25,0.25,1108,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,20.4383561643836,"0"
"825","pablo-zabaleta","Pablo Zabaleta","Manchester City","England",1985-01-16,173,69,"Back",1,0,0,1,0,1,0,0,"36584.jpg",0.25,0.25,1845,"31","BRA",0.368946043450887,2411,0.000173380525321351,0.637171717171717,2475,0.000913419518050977,0.25,27.9780821917808,"1"
"826","eren-derdiyok","Eren Derdiyok","1899 Hoffenheim","Germany",1988-06-12,190,83,"Front",6,1,3,2,0,0,0,0,"74645.jpg",0.25,0.5,2385,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.375,24.572602739726,"0"
"827","patrice-evra","Patrice Evra","Manchester United","England",1981-05-15,175,76,"Back",1,0,0,1,0,0,0,0,"11597.jpg",0.75,0.75,1638,"34","DNK",0.361009815298395,2254,0.000179437550540572,0.61448395490026,2306,0.000811628023725932,0.75,31.6547945205479,"0"
"828","jean-armel-kana-biyik","Jean-Armel Kana-Biyik","Stade Rennes","France",1989-07-03,180,78,"Back",1,0,0,1,0,0,0,0,"119236.jpg",0.75,0.75,171,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.75,23.5150684931507,"0"
"829","ezequiel_3"," Ezequiel","SC Freiburg","Germany",1991-01-12,169,59,"Middle",4,2,1,1,0,0,0,0,"167987.jpg",0.25,0.25,1527,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,21.986301369863,"0"
"830","idrissa-gueye","Idrissa Gueye","Lille OSC","France",1989-09-26,174,64,"Middle",1,0,1,0,0,0,0,0,"170589.jpg",1,1,2099,"51","SRB",0.282037146784089,114,0.00372487795629237,0.420168067226891,119,0.0176574259711266,1,23.2821917808219,"0"
"831","pallardo"," Pallardó","Levante UD","Spain",1986-06-05,173,73,"Middle",5,2,1,2,0,1,0,0,"33176.jpg",0.25,0.25,652,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,26.5945205479452,"1"
"832","roberto_5"," Roberto","Real Zaragoza","Spain",1986-02-10,192,76,"Goalkeeper",2,1,0,1,0,0,0,0,"42224.jpg",0,0.25,559,"72","PRT",0.396803080147761,1079,0.000391944954742492,0.790365744870651,1121,0.00179755834870674,0.125,26.9095890410959,"0"
"833","ryan-nelsen","Ryan Nelsen","Queens Park Rangers","England",1977-10-18,188,84,"Back",14,4,5,5,0,0,1,0,"26917.jpg",0.25,0.25,1942,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,35.2301369863014,"1"
"834","javi-martinez"," Javi Martínez","Bayern München","Germany",1988-09-02,190,81,"Middle",3,2,0,1,1,1,0,0,"52456.jpg",0,0,442,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0,24.3479452054795,"1"
"835","javier-pinola","Javier Pinola","1. FC Nürnberg","Germany",1983-02-24,179,77,"Back",21,7,9,5,0,3,0,0,"14113.jpg",0.25,0.25,2902,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,29.8739726027397,"1"
"836","geoffrey-kondogbia","Geoffrey Kondogbia","Sevilla FC","Spain",1993-02-15,188,76,"Middle",1,0,1,0,0,0,0,0,"177703.jpg",0.75,1,2073,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.875,19.8904109589041,"0"
"837","fallou-diagne","Fallou Diagné","SC Freiburg","Germany",1989-08-14,185,75,"Back",2,1,0,1,0,0,0,0,"135112.jpg",1,1,970,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,1,23.4,"0"
"838","oguchi-onyewu","Oguchi Onyewu","Málaga CF","Spain",1982-05-13,194,95,"Back",1,1,0,0,0,0,0,0,"11652.jpg",0.5,0.5,408,"72","PRT",0.396803080147761,1079,0.000391944954742492,0.790365744870651,1121,0.00179755834870674,0.5,30.6602739726027,"0"
"839","constant-djakpa","Constant Djakpa","Eintracht Frankfurt","Germany",1986-10-17,177,71,"Back",2,1,1,0,0,1,0,0,"92389.jpg",1,1,1273,"27","ROU",0.38508214844892,537,0.000755687454294523,0.859430604982206,562,0.00361995809917579,1,26.227397260274,"1"
"840","christian-benteke","Christian Benteke","Aston Villa","England",1990-12-03,190,83,"Front",1,1,0,0,0,0,0,0,"107544.jpg",0.75,0.75,681,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.75,22.0958904109589,"0"
"841","oliver-sorg","Oliver Sorg","SC Freiburg","Germany",1990-05-29,175,77,"Back",4,3,0,1,0,0,0,0,"149625.jpg",0.25,0.25,1929,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,22.6109589041096,"0"
"842","santi-cazorla"," Santi Cazorla","Arsenal FC","England",1984-12-13,168,66,"Middle",3,2,1,0,1,0,0,0,"18086.jpg",0.25,0.25,566,"45","SCOT",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,28.0712328767123,"0"
"843","david-abraham","David Abraham","Getafe CF","Spain",1986-07-15,187,85,"Back",2,2,0,0,0,0,0,0,"68813.jpg",0,0,1108,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,26.4849315068493,"0"
"844","bruno-soares_2"," Bruno Soares","Fortuna Düsseldorf","Germany",1988-08-21,194,85,"Back",3,1,1,1,1,0,0,0,"146908.jpg",0.5,0.5,2539,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.5,24.3808219178082,"0"
"845","mikel-gonzalez"," Mikel González","Real Sociedad","Spain",1985-09-24,190,79,"Back",10,4,2,4,0,3,0,0,"39641.jpg",0,0.25,88,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.125,27.2904109589041,"1"
"846","paco-alcacer"," Paco Alcácer","Getafe CF","Spain",1993-08-30,174,71,"Front",1,0,0,1,0,0,0,0,"177606.jpg",0.25,0.5,94,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.375,19.3534246575342,"0"
"847","tolgay-arslan","Tolgay Arslan","Hamburger SV","Germany",1990-08-16,180,77,"Middle",2,1,0,1,0,1,0,0,"97803.jpg",0.25,0.25,474,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,22.3945205479452,"1"
"848","maximilian-beister","Maximilian Beister","Hamburger SV","Germany",1990-09-06,180,81,"Middle",1,1,0,0,0,0,0,0,"97291.jpg",0,0,515,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0,22.3369863013699,"0"
"849","yannick-djalo"," Yannick Djaló","Toulouse FC","France",1986-05-05,171,62,"Front",1,1,0,0,0,0,0,0,"58124.jpg",0.75,0.75,2681,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0.75,26.6794520547945,"0"
"850","capdevila"," Capdevila","Espanyol Barcelona","Spain",1978-02-03,182,79,"Back",12,3,6,3,1,2,0,0,"2644.jpg",0.25,0.25,442,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,34.9342465753425,"1"
"851","emir-spahic","Emir Spahić","Sevilla FC","Spain",1980-08-18,185,80,"Back",1,1,0,0,0,1,0,0,"14358.jpg",0.25,0.25,2895,"34","DNK",0.361009815298395,2254,0.000179437550540572,0.61448395490026,2306,0.000811628023725932,0.25,32.3945205479452,"1"
"852","amorebieta"," Amorebieta","Athletic Bilbao","Spain",1985-03-29,192,85,"Back",1,1,0,0,0,0,0,0,"34979.jpg",0,0,1147,"112","EST",0.42931480951678,201,0.00219443971247538,1.18048780487805,205,0.0120958269958949,0,27.7808219178082,"0"
"853","antoine-griezmann","Antoine Griezmann","Real Sociedad","Spain",1991-03-21,176,68,"Front",7,5,1,1,4,0,0,0,"153546.jpg",0.25,0.25,432,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,21.8,"0"
"854","alexandre-lacazette","Alexandre Lacazette","Olympique Lyon","France",1991-05-28,174,73,"Front",1,1,0,0,2,0,0,0,"165182.jpg",0.75,0.75,68,"28","IRL",0.355498137405798,4078,9.83213148637282e-05,0.517225106182161,4238,0.000404579006949242,0.75,21.613698630137,"0"
"855","mathieu-bodmer","Mathieu Bodmer","Paris Saint-Germain","France",1982-11-22,188,76,"Middle",1,1,0,0,0,0,0,0,"11003.jpg",0,0.25,933,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.125,30.1315068493151,"0"
"856","ilan"," Ilan","SC Bastia","France",1980-09-18,180,69,"Front",1,1,0,0,2,0,0,0,"24608.jpg",0.25,0.25,2607,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0.25,32.3095890410959,"0"
"857","mehmet-ekici","Mehmet Ekici","Werder Bremen","Germany",1990-03-25,180,79,"Middle",1,1,0,0,0,0,0,0,"97330.jpg",0.25,0.25,2306,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,22.7890410958904,"0"
"858","luka-modric","Luka Modrić","Real Madrid","Spain",1985-09-09,174,65,"Middle",4,1,0,3,0,0,0,0,"38680.jpg",0,0,2796,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0,27.3315068493151,"0"
"859","david-silva_2"," David Silva","Manchester City","England",1986-01-08,170,67,"Middle",4,2,0,2,1,1,0,0,"24781.jpg",0.25,0.25,137,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,27,"1"
"860","joaquin"," Joaquín","Málaga CF","Spain",1981-07-21,180,76,"Middle",1,1,0,0,0,0,0,0,"1403.jpg",0.5,0.5,1818,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.5,31.4712328767123,"0"
"861","fabio-coentrao"," Fábio Coentrão","Real Madrid","Spain",1988-03-11,179,70,"Back",2,1,0,1,0,1,0,0,"39572.jpg",0.5,0.25,1942,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.375,24.827397260274,"1"
"862","thomas-soerensen","Thomas Sørensen","Stoke City","England",1976-06-12,195,89,"Goalkeeper",4,1,1,2,0,0,0,0,"1187.jpg",0.25,0.25,1627,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,36.5808219178082,"0"
"863","ken-ilsoe","Ken Ilsø","Fortuna Düsseldorf","Germany",1986-12-02,183,77,"Front",1,0,0,1,0,0,0,0,"116196.jpg",0.25,0.25,2306,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,26.1013698630137,"0"
"864","michael-dawson","Michael Dawson","Tottenham Hotspur","England",1983-11-18,188,76,"Back",1,0,0,1,0,0,0,0,"30021.jpg",0,0.25,2320,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.125,29.1424657534247,"0"
"865","damien-duff","Damien Duff","Fulham FC","England",1979-03-02,178,70,"Front",1,1,0,0,0,0,0,0,"1183.jpg",0,0,1597,"101","CZE",0.411976316319541,595,0.000712378907208621,0.683946488294314,598,0.00348928950301772,0,33.8602739726027,"0"
"866","niklas-lomb","Niklas Lomb","Bayer Leverkusen","Germany",1993-07-28,188,84,"Goalkeeper",3,1,1,1,0,0,0,0,"174116.jpg",0,0,474,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,19.4438356164384,"0"
"867","gael-danic","Gaël Danic","Valenciennes FC","France",1981-11-19,176,65,"Middle",3,1,0,2,0,0,0,0,"35259.jpg",0,0,2293,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0,31.1397260273973,"0"
"868","patrick-owomoyela","Patrick Owomoyela","Borussia Dortmund","Germany",1979-11-05,187,87,"Back",1,1,0,0,0,0,0,0,"9694.jpg",0.5,0.5,1946,"40","SWE",0.340205494522481,5223,8.12333218896306e-05,0.62640099626401,5621,0.000372808603113762,0.5,33.1808219178082,"0"
"869","sebastian-langkamp","Sebastian Langkamp","FC Augsburg","Germany",1988-01-15,190,85,"Back",7,3,1,3,0,0,0,0,"81616.jpg",0,0,933,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,24.9808219178082,"0"
"870","joe-allen","Joe Allen","Liverpool FC","England",1990-03-14,168,62,"Middle",1,0,0,1,0,0,0,0,"96852.jpg",0,0,570,"27","ROU",0.38508214844892,537,0.000755687454294523,0.859430604982206,562,0.00361995809917579,0,22.8191780821918,"0"
"871","ivan-perisic","Ivan Perišić","Borussia Dortmund","Germany",1989-02-02,187,80,"Middle",2,1,1,0,0,0,0,0,"87877.jpg",0,0.25,2357,"72","PRT",0.396803080147761,1079,0.000391944954742492,0.790365744870651,1121,0.00179755834870674,0.125,23.9287671232877,"0"
"872","raul-albiol"," Raúl Albiol","Real Madrid","Spain",1985-09-04,190,82,"Back",3,2,1,0,0,1,0,0,"17067.jpg",0,0,2681,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0,27.3452054794521,"1"
"873","gerald-asamoah","Gerald Asamoah","SpVgg Greuther Fürth","Germany",1978-10-03,180,85,"Front",3,1,1,1,0,0,0,0,"167.jpg",1,1,963,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,1,34.2712328767123,"0"
"874","matthieu-delpierre","Matthieu Delpierre","1899 Hoffenheim","Germany",1981-04-26,193,86,"Back",1,1,0,0,0,0,0,0,"11549.jpg",0.25,0.25,1111,"66","CHL",0.347543355316371,371,0.00116293776178863,0.706806282722513,382,0.00595738344460875,0.25,31.7068493150685,"0"
"875","viktor-klonaridis","Viktor Klonaridis","Lille OSC","France",1992-07-28,178,70,"Middle",1,1,0,0,0,0,0,0,"179791.jpg",0.25,0.25,3090,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0.25,20.4438356164384,"0"
"876","javier-pinola","Javier Pinola","1. FC Nürnberg","Germany",1983-02-24,179,77,"Back",1,0,0,1,0,0,0,0,"14113.jpg",0.25,0.25,1348,"49","ARG",0.379421809264057,1038,0.000402667965213078,0.632987910189983,1158,0.00209584096170289,0.25,29.8739726027397,"0"
"877","bocoundji-ca"," Bocoundji Cá","Stade Reims","France",1986-12-28,172,69,"Middle",1,1,0,0,0,0,0,0,"29568.jpg",0.75,0.75,2797,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.75,26.0301369863014,"0"
"878","ronny-philp","Ronny Philp","FC Augsburg","Germany",1989-01-28,183,78,"Back",5,2,0,3,0,0,0,0,"122021.jpg",0,0,2443,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,23.9424657534247,"0"
"879","giorgios-karagounis","Giorgios Karagounis","Fulham FC","England",1977-03-06,176,83,"Middle",2,1,0,1,0,1,0,0,"8247.jpg",0,0,2052,"1","GRC",0.326391469021736,712,0.000564112354334542,0.396,750,0.0026964901062936,0,35.8493150684931,"1"
"880","lucas-piazon"," Lucas Piazon","Chelsea FC","England",1994-01-20,182,75,"Front",1,1,0,0,0,0,0,0,"182681.jpg",0.25,0.25,1505,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,18.9616438356164,"0"
"881","sebastian-kehl","Sebastian Kehl","Borussia Dortmund","Germany",1980-02-13,188,80,"Middle",2,0,1,1,0,0,1,0,"227.jpg",0,0,1971,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0,32.9068493150685,"1"
"882","daniel-agger","Daniel Agger","Liverpool FC","England",1984-12-12,187,75,"Back",4,3,1,0,0,0,0,0,"22143.jpg",0.25,0.25,2822,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,28.0739726027397,"0"
"883","jos-hooiveld","Jos Hooiveld","Southampton FC","England",1983-04-22,191,74,"Back",1,1,0,0,0,0,0,0,"19851.jpg",0.25,0.25,975,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,29.7178082191781,"0"
"884","edu_4"," Edu","SpVgg Greuther Fürth","Germany",1981-11-30,185,90,"Front",1,0,0,1,0,0,0,0,"13994.jpg",0,0,1619,"41","JPN",0.341308090228416,2899,0.000147388590590909,0.205339485827291,3034,0.000603338100439677,0,31.1095890410959,"0"
"885","david-silva_2"," David Silva","Manchester City","England",1986-01-08,170,67,"Middle",2,0,1,1,0,0,0,0,"24781.jpg",0.25,0.25,1456,"40","SWE",0.340205494522481,5223,8.12333218896306e-05,0.62640099626401,5621,0.000372808603113762,0.25,27,"0"
"886","puyol"," Puyol","FC Barcelona","Spain",1978-04-13,178,80,"Back",1,1,0,0,0,0,0,0,"1392.jpg",0,0,1303,"22","POL",0.369957542899207,1021,0.000412290464887037,0.831267874165872,1049,0.00203359119063967,0,34.7452054794521,"0"
"887","paul-verhaegh","Paul Verhaegh","FC Augsburg","Germany",1983-09-01,178,72,"Back",1,1,0,0,0,0,0,0,"24449.jpg",0,0,508,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,29.3561643835616,"0"
"888","marcel-halstenberg","Marcel Halstenberg","Borussia Dortmund","Germany",1991-09-27,186,82,"Back",2,0,1,1,0,0,0,0,"119453.jpg",0,0,2887,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,21.2794520547945,"0"
"889","igor-martinez"," Igor Martínez","Athletic Bilbao","Spain",1989-07-19,170,65,"Middle",1,0,0,1,0,1,0,0,"125095.jpg",0,0.25,1522,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.125,23.4712328767123,"1"
"890","marcel-schaefer","Marcel Schäfer","VfL Wolfsburg","Germany",1984-06-07,184,75,"Back",1,0,1,0,0,1,0,0,"17372.jpg",0.25,0.25,2036,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,28.5890410958904,"1"
"891","mikel-arteta"," Mikel Arteta","Arsenal FC","England",1982-03-26,176,69,"Middle",28,14,10,4,5,6,0,0,"14086.jpg",0,0,1214,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,30.7917808219178,"1"
"892","marc-wilson","Marc Wilson","Stoke City","England",1987-08-17,188,80,"Back",1,1,0,0,0,0,0,0,"73229.jpg",0,0.25,669,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.125,25.3945205479452,"0"
"893","philipp-wollscheid","Philipp Wollscheid","Bayer Leverkusen","Germany",1989-03-06,194,88,"Back",1,1,0,0,0,0,0,0,"87550.jpg",0,0,2511,"19","USA",0.327248753664166,1975803,2.23537294251686e-07,0.459471271435807,2029548,1.04333425479502e-06,0,23.841095890411,"0"
"894","arda-turan","Arda Turan","Atlético Madrid","Spain",1987-01-30,177,76,"Front",1,0,1,0,0,0,0,0,"30203.jpg",0,0,2735,"27","ROU",0.38508214844892,537,0.000755687454294523,0.859430604982206,562,0.00361995809917579,0,25.9397260273973,"0"
"895","giorgios-karagounis","Giorgios Karagounis","Fulham FC","England",1977-03-06,176,83,"Middle",2,1,0,1,0,1,0,0,"8247.jpg",0,0,1644,"34","DNK",0.361009815298395,2254,0.000179437550540572,0.61448395490026,2306,0.000811628023725932,0,35.8493150684931,"1"
"896","kun-agueero","Kun Agüero","Manchester City","England",1988-06-02,172,74,"Front",1,0,0,1,0,0,0,0,"43370.jpg",0.25,0.25,542,"49","ARG",0.379421809264057,1038,0.000402667965213078,0.632987910189983,1158,0.00209584096170289,0.25,24.6,"0"
"897","marc-antoine-fortune","Marc-Antoine Fortuné","West Bromwich Albion","England",1981-07-02,182,81,"Front",5,2,0,3,0,0,0,0,"36877.jpg",1,0.75,2792,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.875,31.5232876712329,"0"
"898","yohandry-orozco","Yohandry Orozco","VfL Wolfsburg","Germany",1991-03-19,164,55,"Middle",1,0,1,0,0,0,0,0,"107399.jpg",0.5,0.5,2556,"73","URY",0.362015016289714,130,0.00300573793127952,0.588235294117647,136,0.0175028280846623,0.5,21.8054794520548,"0"
"899","anthony-mounier","Anthony Mounier","Montpellier HSC","France",1987-09-27,174,65,"Middle",6,2,2,2,0,1,0,0,"87796.jpg",0,0,363,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0,25.2821917808219,"1"
"900","andros-townsend","Andros Townsend","Tottenham Hotspur (R)","England",1991-07-16,183,76,"Middle",5,3,1,1,1,0,0,0,"142205.jpg",0.25,0.25,2398,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,21.4794520547945,"0"
"901","peniel-mlapa","Peniel Mlapa","Bor. Mönchengladbach","Germany",1991-02-20,195,89,"Front",2,1,0,1,1,0,0,0,"124990.jpg",0.75,1,2306,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.875,21.8794520547945,"0"
"902","henri-saivet","Henri Saivet","Girondins Bordeaux","France",1990-10-26,174,73,"Front",1,1,0,0,0,0,0,0,"86346.jpg",1,1,2005,"65","ISR",0.379423514616172,925,0.000463753211371217,0.559375,960,0.00192721194843895,1,22.2,"0"
